Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7
Typhoid,diarrhea,high fever,rash,headache,loss of appetite,constipation,weakness
COVID-19,headache,body aches,fatigue,shortness of breath,loss of smell,cough,fever
Appendicitis,loss of appetite,vomiting,bloating,,,,
Influenza,cough,body aches,fatigue,sore throat,runny nose,headache,
Appendicitis,fever,severe abdominal pain,bloating,vomiting,nausea,,
Diabetes,excessive thirst,blurred vision,weight loss,fatigue,,,
COVID-19,headache,cough,body aches,fatigue,,,
Gastroenteritis,nausea,loss of appetite,diarrhea,stomach cramps,vomiting,fatigue,
Gastroenteritis,vomiting,fatigue,fever,,,,
Chicken Pox,fatigue,fever,headache,,,,
Typhoid,diarrhea,loss of appetite,high fever,stomach pain,,,
Hypertension,blurred vision,dizziness,headache,fatigue,chest pain,shortness of breath,
Typhoid,headache,diarrhea,loss of appetite,stomach pain,constipation,high fever,
Anemia,dizziness,pale skin,fatigue,chest pain,,,
Gastroenteritis,loss of appetite,stomach cramps,vomiting,,,,
Hypertension,chest pain,blurred vision,shortness of breath,,,,
Diabetes,frequent urination,numbness in feet,excessive thirst,blurred vision,slow healing wounds,fatigue,
Chicken Pox,loss of appetite,headache,rash,,,,
Common Cold,fatigue,runny nose,sore throat,sneezing,cough,congestion,
Gastroenteritis,loss of appetite,fever,diarrhea,vomiting,nausea,stomach cramps,fatigue
Appendicitis,bloating,nausea,loss of appetite,,,,
Chicken Pox,fever,headache,rash,fatigue,blisters,itchiness,loss of appetite
Hypertension,headache,dizziness,chest pain,shortness of breath,nosebleed,fatigue,blurred vision
Hypertension,headache,dizziness,blurred vision,shortness of breath,nosebleed,,
COVID-19,loss of smell,headache,body aches,loss of taste,,,
COVID-19,fatigue,cough,loss of taste,,,,
Common Cold,sneezing,fatigue,cough,sore throat,mild fever,congestion,
Arthritis,joint pain,warmth in joints,reduced range of motion,fatigue,stiffness,,
Appendicitis,nausea,severe abdominal pain,fever,loss of appetite,bloating,,
COVID-19,body aches,fever,headache,fatigue,loss of smell,cough,shortness of breath
Pneumonia,fever,cough,fatigue,,,,
Gastroenteritis,nausea,vomiting,fever,diarrhea,loss of appetite,fatigue,
Common Cold,fatigue,cough,sore throat,mild fever,runny nose,congestion,
Influenza,cough,headache,body aches,fever,sore throat,chills,fatigue
Arthritis,fatigue,warmth in joints,reduced range of motion,swelling,,,
Typhoid,diarrhea,stomach pain,headache,weakness,,,
Hypertension,blurred vision,fatigue,chest pain,,,,
Typhoid,rash,loss of appetite,constipation,weakness,headache,high fever,stomach pain
Appendicitis,loss of appetite,bloating,fever,severe abdominal pain,nausea,,
Pneumonia,shortness of breath,rapid breathing,fever,,,,
Gastroenteritis,vomiting,stomach cramps,loss of appetite,,,,
Anemia,weakness,chest pain,pale skin,,,,
Typhoid,constipation,weakness,loss of appetite,diarrhea,high fever,,
Hepatitis B,joint pain,fatigue,dark urine,nausea,jaundice,,
Diabetes,excessive thirst,numbness in feet,slow healing wounds,blurred vision,weight loss,fatigue,frequent urination
Hypertension,headache,blurred vision,dizziness,,,,
Malaria,chills,vomiting,fatigue,sweating,,,
Arthritis,swelling,reduced range of motion,stiffness,joint pain,warmth in joints,,
Migraine,nausea,fatigue,severe headache,,,,
Chicken Pox,blisters,loss of appetite,fever,rash,,,
Chicken Pox,fever,fatigue,headache,blisters,rash,loss of appetite,
Common Cold,cough,sore throat,runny nose,,,,
Anemia,shortness of breath,cold hands,weakness,dizziness,,,
Anemia,weakness,fatigue,chest pain,,,,
Appendicitis,severe abdominal pain,vomiting,loss of appetite,,,,
Pneumonia,fatigue,chest pain,shortness of breath,cough,,,
Pneumonia,fatigue,rapid breathing,chills,cough,fever,chest pain,shortness of breath
Dengue Fever,severe headache,nausea,joint pain,,,,
Appendicitis,vomiting,severe abdominal pain,bloating,,,,
Hypertension,shortness of breath,dizziness,blurred vision,fatigue,headache,nosebleed,chest pain
Chicken Pox,itchiness,blisters,fatigue,fever,loss of appetite,,
Chicken Pox,headache,fever,fatigue,rash,blisters,loss of appetite,itchiness
Malaria,fever,sweating,vomiting,fatigue,headache,,
Influenza,body aches,sore throat,fever,runny nose,cough,headache,fatigue
Hepatitis B,nausea,fatigue,joint pain,dark urine,jaundice,abdominal pain,
Appendicitis,severe abdominal pain,bloating,loss of appetite,,,,
Arthritis,stiffness,joint pain,fatigue,swelling,,,
Arthritis,warmth in joints,reduced range of motion,swelling,fatigue,stiffness,,
Tuberculosis,persistent cough,night sweats,fatigue,weight loss,coughing up blood,fever,chest pain
Hepatitis B,jaundice,nausea,fatigue,vomiting,joint pain,abdominal pain,
Hypertension,headache,dizziness,nosebleed,,,,
Measles,fever,rash,cough,fatigue,,,
Hypertension,nosebleed,dizziness,blurred vision,,,,
Chicken Pox,rash,itchiness,loss of appetite,fatigue,blisters,fever,
Chicken Pox,headache,fatigue,loss of appetite,fever,itchiness,blisters,rash
Anemia,pale skin,fatigue,shortness of breath,weakness,,,
Malaria,headache,nausea,vomiting,,,,
Migraine,sensitivity to sound,severe headache,vomiting,fatigue,nausea,sensitivity to light,
Measles,red eyes,cough,fatigue,sensitivity to light,,,
Diabetes,blurred vision,frequent urination,excessive thirst,numbness in feet,slow healing wounds,,
Tuberculosis,coughing up blood,fatigue,persistent cough,fever,chest pain,,
Appendicitis,fever,nausea,severe abdominal pain,loss of appetite,bloating,vomiting,
Migraine,vomiting,sensitivity to light,blurred vision,severe headache,,,
Hepatitis B,nausea,fatigue,joint pain,jaundice,vomiting,dark urine,
Urinary Tract Infection,cloudy urine,fever,burning urination,frequent urination,pelvic pain,chills,
Hepatitis B,nausea,fatigue,jaundice,,,,
Malaria,fever,chills,vomiting,muscle pain,fatigue,headache,sweating
Diabetes,weight loss,numbness in feet,fatigue,frequent urination,slow healing wounds,blurred vision,excessive thirst
Malaria,vomiting,nausea,fatigue,fever,muscle pain,sweating,
Pneumonia,chest pain,cough,shortness of breath,fever,,,
Anemia,shortness of breath,pale skin,weakness,dizziness,chest pain,fatigue,cold hands
Migraine,sensitivity to light,blurred vision,nausea,vomiting,severe headache,fatigue,
Tuberculosis,persistent cough,chest pain,fatigue,weight loss,,,
Typhoid,weakness,constipation,stomach pain,diarrhea,rash,,
Typhoid,constipation,stomach pain,weakness,rash,,,
Pneumonia,fever,chest pain,shortness of breath,rapid breathing,,,
Measles,red eyes,fever,sensitivity to light,fatigue,runny nose,rash,
Pneumonia,chest pain,rapid breathing,fever,shortness of breath,chills,fatigue,cough
Anemia,fatigue,weakness,dizziness,cold hands,chest pain,,
Dengue Fever,severe headache,vomiting,muscle pain,joint pain,fatigue,high fever,rash
Common Cold,congestion,runny nose,mild fever,cough,,,
Asthma,coughing,wheezing,chest tightness,fatigue,shortness of breath,,
COVID-19,fatigue,headache,loss of taste,shortness of breath,cough,fever,
Tuberculosis,coughing up blood,fever,night sweats,,,,
Migraine,severe headache,nausea,sensitivity to light,fatigue,blurred vision,,
Gastroenteritis,vomiting,fatigue,loss of appetite,stomach cramps,diarrhea,,
Gastroenteritis,vomiting,fever,stomach cramps,nausea,,,
Influenza,body aches,runny nose,headache,cough,sore throat,fever,
Measles,runny nose,sensitivity to light,fatigue,cough,red eyes,,
Tuberculosis,fever,weight loss,coughing up blood,chest pain,persistent cough,,
Arthritis,swelling,stiffness,reduced range of motion,warmth in joints,,,
Hypertension,chest pain,headache,fatigue,dizziness,blurred vision,shortness of breath,nosebleed
Pneumonia,chest pain,rapid breathing,chills,fever,shortness of breath,,
Influenza,runny nose,body aches,chills,cough,sore throat,fatigue,
Chicken Pox,itchiness,fatigue,headache,loss of appetite,rash,fever,
Tuberculosis,fatigue,chest pain,fever,,,,
Asthma,shortness of breath,coughing,fatigue,wheezing,chest tightness,,
Measles,fever,red eyes,rash,runny nose,cough,fatigue,
Pneumonia,rapid breathing,fever,chest pain,shortness of breath,fatigue,cough,
Influenza,fatigue,cough,body aches,runny nose,chills,sore throat,
COVID-19,loss of taste,headache,cough,fever,shortness of breath,,
Hypertension,headache,dizziness,shortness of breath,fatigue,nosebleed,,
Asthma,chest tightness,coughing,shortness of breath,,,,
Arthritis,joint pain,fatigue,reduced range of motion,,,,
Influenza,sore throat,runny nose,headache,fatigue,,,
Gastroenteritis,loss of appetite,fever,vomiting,diarrhea,nausea,,
Arthritis,swelling,warmth in joints,fatigue,stiffness,,,
Common Cold,mild fever,congestion,cough,sore throat,fatigue,runny nose,
Tuberculosis,night sweats,coughing up blood,fever,persistent cough,,,
Urinary Tract Infection,frequent urination,fever,pelvic pain,burning urination,chills,cloudy urine,
Arthritis,joint pain,stiffness,warmth in joints,reduced range of motion,,,
Tuberculosis,chest pain,persistent cough,fatigue,weight loss,coughing up blood,night sweats,
Chicken Pox,blisters,headache,loss of appetite,rash,itchiness,fatigue,
Malaria,vomiting,fever,headache,sweating,chills,muscle pain,nausea
Gastroenteritis,vomiting,stomach cramps,fever,loss of appetite,fatigue,,
Asthma,coughing,shortness of breath,fatigue,chest tightness,,,
Dengue Fever,fatigue,vomiting,joint pain,nausea,muscle pain,,
Asthma,wheezing,chest tightness,fatigue,shortness of breath,,,
Measles,red eyes,fatigue,sensitivity to light,rash,,,
Tuberculosis,night sweats,coughing up blood,weight loss,fatigue,chest pain,persistent cough,
Typhoid,headache,high fever,diarrhea,constipation,,,
Measles,runny nose,fatigue,red eyes,fever,sensitivity to light,,
Chicken Pox,rash,itchiness,headache,fever,fatigue,loss of appetite,blisters
Urinary Tract Infection,chills,burning urination,fever,frequent urination,pelvic pain,,
Tuberculosis,persistent cough,coughing up blood,fatigue,weight loss,,,
Common Cold,sneezing,fatigue,cough,mild fever,congestion,sore throat,runny nose
Tuberculosis,fatigue,weight loss,fever,night sweats,persistent cough,,
Urinary Tract Infection,fever,chills,pelvic pain,frequent urination,,,
Pneumonia,cough,rapid breathing,fatigue,fever,chest pain,shortness of breath,
Pneumonia,shortness of breath,chills,fatigue,,,,
Anemia,chest pain,pale skin,fatigue,dizziness,shortness of breath,cold hands,
Dengue Fever,high fever,nausea,rash,,,,
Asthma,shortness of breath,coughing,fatigue,wheezing,chest tightness,,
Diabetes,frequent urination,numbness in feet,excessive thirst,weight loss,,,
Common Cold,fatigue,cough,congestion,runny nose,,,
Arthritis,joint pain,fatigue,warmth in joints,stiffness,,,
COVID-19,fatigue,body aches,cough,fever,loss of taste,,
Dengue Fever,rash,muscle pain,severe headache,high fever,,,
Hypertension,chest pain,fatigue,blurred vision,headache,dizziness,nosebleed,
Urinary Tract Infection,frequent urination,cloudy urine,fever,,,,
Migraine,sensitivity to light,nausea,severe headache,blurred vision,sensitivity to sound,vomiting,
Arthritis,stiffness,reduced range of motion,swelling,warmth in joints,joint pain,fatigue,
Pneumonia,chest pain,chills,fever,fatigue,rapid breathing,cough,shortness of breath
Chicken Pox,fever,headache,blisters,,,,
COVID-19,cough,loss of smell,body aches,fever,,,
Pneumonia,fever,shortness of breath,cough,chills,fatigue,chest pain,
Arthritis,stiffness,joint pain,fatigue,,,,
Malaria,chills,fever,muscle pain,headache,,,
Chicken Pox,blisters,rash,loss of appetite,fatigue,,,
Dengue Fever,severe headache,muscle pain,fatigue,vomiting,joint pain,,
Malaria,fever,chills,fatigue,nausea,sweating,,
Measles,sensitivity to light,red eyes,fever,runny nose,cough,,
Hepatitis B,fatigue,abdominal pain,joint pain,dark urine,vomiting,nausea,jaundice
Hepatitis B,dark urine,jaundice,fatigue,vomiting,,,
Anemia,weakness,pale skin,dizziness,cold hands,fatigue,,
Malaria,muscle pain,vomiting,fatigue,nausea,,,
Dengue Fever,rash,severe headache,joint pain,,,,
Hepatitis B,fatigue,abdominal pain,joint pain,vomiting,dark urine,,
Chicken Pox,blisters,loss of appetite,rash,itchiness,headache,fever,
Chicken Pox,itchiness,fever,rash,headache,blisters,,
Tuberculosis,fever,chest pain,persistent cough,fatigue,weight loss,night sweats,
Dengue Fever,fatigue,nausea,vomiting,high fever,joint pain,muscle pain,
Urinary Tract Infection,cloudy urine,burning urination,pelvic pain,,,,
Influenza,headache,body aches,chills,runny nose,sore throat,fever,
Arthritis,reduced range of motion,joint pain,stiffness,warmth in joints,fatigue,,
Dengue Fever,muscle pain,rash,nausea,fatigue,severe headache,,
Urinary Tract Infection,chills,pelvic pain,cloudy urine,burning urination,,,
Malaria,headache,fatigue,vomiting,muscle pain,nausea,chills,
Influenza,runny nose,sore throat,headache,fatigue,,,
Chicken Pox,itchiness,blisters,fatigue,rash,,,
Appendicitis,severe abdominal pain,vomiting,bloating,loss of appetite,fever,nausea,
Malaria,nausea,sweating,vomiting,headache,muscle pain,fatigue,
Asthma,wheezing,shortness of breath,coughing,,,,
Diabetes,weight loss,numbness in feet,blurred vision,slow healing wounds,fatigue,frequent urination,excessive thirst
Hypertension,dizziness,fatigue,nosebleed,chest pain,headache,shortness of breath,blurred vision
COVID-19,cough,headache,loss of taste,body aches,fatigue,loss of smell,fever
COVID-19,shortness of breath,fatigue,loss of taste,body aches,loss of smell,fever,
Urinary Tract Infection,frequent urination,cloudy urine,chills,,,,
Arthritis,warmth in joints,reduced range of motion,stiffness,joint pain,,,
Migraine,sensitivity to sound,fatigue,severe headache,,,,
Migraine,sensitivity to light,blurred vision,sensitivity to sound,nausea,vomiting,,
Chicken Pox,loss of appetite,fatigue,headache,rash,blisters,,
Measles,runny nose,fatigue,red eyes,sensitivity to light,fever,cough,rash
Hypertension,blurred vision,fatigue,shortness of breath,nosebleed,headache,,
Arthritis,swelling,fatigue,joint pain,warmth in joints,,,
Arthritis,fatigue,stiffness,reduced range of motion,swelling,,,
Chicken Pox,itchiness,headache,rash,blisters,,,
Gastroenteritis,nausea,stomach cramps,vomiting,loss of appetite,fatigue,diarrhea,fever
Appendicitis,nausea,severe abdominal pain,loss of appetite,fever,vomiting,,
Gastroenteritis,fever,fatigue,diarrhea,nausea,,,
Typhoid,headache,weakness,stomach pain,constipation,rash,diarrhea,
Urinary Tract Infection,burning urination,fever,frequent urination,cloudy urine,chills,,
Diabetes,weight loss,slow healing wounds,excessive thirst,fatigue,blurred vision,,
Common Cold,sneezing,fatigue,runny nose,cough,sore throat,mild fever,
Common Cold,sneezing,mild fever,congestion,,,,
Arthritis,warmth in joints,stiffness,swelling,joint pain,,,
Hypertension,chest pain,headache,shortness of breath,fatigue,,,
Measles,red eyes,fatigue,rash,sensitivity to light,fever,cough,runny nose
Appendicitis,severe abdominal pain,loss of appetite,vomiting,nausea,,,
Appendicitis,vomiting,bloating,nausea,fever,,,
Tuberculosis,coughing up blood,night sweats,persistent cough,fatigue,chest pain,,
Urinary Tract Infection,frequent urination,fever,cloudy urine,burning urination,,,
Chicken Pox,itchiness,rash,fatigue,headache,,,
Tuberculosis,night sweats,coughing up blood,persistent cough,weight loss,fatigue,chest pain,
Pneumonia,chills,fatigue,cough,fever,,,
Tuberculosis,chest pain,persistent cough,fatigue,weight loss,,,
Measles,fatigue,rash,fever,red eyes,cough,sensitivity to light,
Asthma,shortness of breath,fatigue,coughing,chest tightness,,,
Chicken Pox,headache,fatigue,rash,loss of appetite,,,
Pneumonia,chest pain,rapid breathing,chills,fatigue,cough,fever,
Common Cold,mild fever,fatigue,congestion,sore throat,sneezing,,
Tuberculosis,weight loss,chest pain,coughing up blood,fever,,,
Dengue Fever,fatigue,rash,vomiting,nausea,high fever,severe headache,
COVID-19,fatigue,loss of taste,cough,loss of smell,headache,fever,
Dengue Fever,severe headache,rash,high fever,muscle pain,vomiting,joint pain,nausea
Migraine,sensitivity to light,vomiting,nausea,blurred vision,fatigue,sensitivity to sound,
Dengue Fever,nausea,vomiting,muscle pain,severe headache,,,
Hypertension,shortness of breath,blurred vision,chest pain,nosebleed,,,
Appendicitis,vomiting,loss of appetite,fever,nausea,,,
Hepatitis B,vomiting,abdominal pain,fatigue,jaundice,nausea,,
Dengue Fever,severe headache,vomiting,joint pain,muscle pain,rash,,
Influenza,sore throat,fatigue,fever,body aches,chills,,
Tuberculosis,fever,night sweats,weight loss,coughing up blood,,,
Urinary Tract Infection,cloudy urine,chills,frequent urination,,,,
Anemia,pale skin,dizziness,fatigue,shortness of breath,chest pain,weakness,
Migraine,sensitivity to sound,fatigue,sensitivity to light,nausea,,,
Malaria,muscle pain,vomiting,nausea,chills,headache,,
Malaria,sweating,headache,vomiting,muscle pain,fever,fatigue,nausea
Hepatitis B,nausea,joint pain,fatigue,abdominal pain,jaundice,dark urine,vomiting
Chicken Pox,loss of appetite,rash,headache,itchiness,,,
Migraine,fatigue,sensitivity to light,vomiting,nausea,,,
Appendicitis,nausea,fever,vomiting,severe abdominal pain,loss of appetite,bloating,
Urinary Tract Infection,frequent urination,burning urination,cloudy urine,chills,pelvic pain,,
Anemia,shortness of breath,dizziness,pale skin,chest pain,,,
Migraine,sensitivity to sound,fatigue,severe headache,sensitivity to light,vomiting,nausea,
Migraine,blurred vision,vomiting,sensitivity to sound,,,,
Dengue Fever,high fever,muscle pain,vomiting,joint pain,fatigue,severe headache,nausea
COVID-19,fatigue,loss of taste,shortness of breath,body aches,fever,loss of smell,headache
Urinary Tract Infection,cloudy urine,fever,frequent urination,pelvic pain,burning urination,chills,
Hepatitis B,fatigue,jaundice,abdominal pain,vomiting,dark urine,,
Appendicitis,loss of appetite,severe abdominal pain,nausea,bloating,fever,vomiting,
COVID-19,cough,loss of taste,body aches,,,,
Appendicitis,loss of appetite,vomiting,bloating,,,,
Arthritis,warmth in joints,joint pain,reduced range of motion,,,,
Pneumonia,fever,chills,chest pain,cough,shortness of breath,rapid breathing,
Diabetes,numbness in feet,weight loss,slow healing wounds,frequent urination,,,
Chicken Pox,fever,itchiness,blisters,fatigue,,,
Typhoid,stomach pain,headache,loss of appetite,constipation,high fever,rash,weakness
Gastroenteritis,nausea,stomach cramps,vomiting,,,,
Migraine,nausea,sensitivity to sound,sensitivity to light,fatigue,vomiting,blurred vision,
Gastroenteritis,fever,stomach cramps,nausea,loss of appetite,fatigue,diarrhea,vomiting
Chicken Pox,fatigue,blisters,rash,,,,
Pneumonia,fever,rapid breathing,shortness of breath,cough,,,
Pneumonia,rapid breathing,cough,shortness of breath,chills,fatigue,chest pain,fever
Anemia,chest pain,fatigue,weakness,dizziness,pale skin,,
COVID-19,loss of taste,headache,shortness of breath,,,,
Asthma,coughing,chest tightness,wheezing,shortness of breath,fatigue,,
Anemia,chest pain,shortness of breath,fatigue,cold hands,dizziness,pale skin,weakness
Influenza,cough,sore throat,chills,fatigue,runny nose,fever,body aches
Chicken Pox,headache,fatigue,rash,loss of appetite,fever,blisters,itchiness
Tuberculosis,night sweats,persistent cough,chest pain,,,,
Measles,cough,fatigue,sensitivity to light,,,,
Anemia,cold hands,dizziness,shortness of breath,,,,
Typhoid,constipation,high fever,diarrhea,loss of appetite,stomach pain,,
Hypertension,headache,chest pain,blurred vision,nosebleed,shortness of breath,dizziness,
Dengue Fever,fatigue,muscle pain,vomiting,joint pain,high fever,,
Diabetes,blurred vision,fatigue,slow healing wounds,excessive thirst,frequent urination,weight loss,numbness in feet
Urinary Tract Infection,frequent urination,cloudy urine,chills,pelvic pain,fever,,
Malaria,muscle pain,headache,vomiting,fever,chills,nausea,
Malaria,fever,headache,fatigue,,,,
Gastroenteritis,fatigue,nausea,diarrhea,stomach cramps,fever,loss of appetite,
Anemia,dizziness,shortness of breath,chest pain,cold hands,weakness,,
Pneumonia,cough,chills,fever,rapid breathing,fatigue,shortness of breath,
Hypertension,headache,shortness of breath,nosebleed,chest pain,,,
Arthritis,stiffness,joint pain,swelling,reduced range of motion,warmth in joints,,
Malaria,vomiting,nausea,fatigue,,,,
Pneumonia,fever,cough,chest pain,,,,
Migraine,sensitivity to sound,vomiting,severe headache,nausea,fatigue,sensitivity to light,blurred vision
Common Cold,sore throat,fatigue,congestion,cough,sneezing,runny nose,mild fever
Chicken Pox,blisters,fatigue,loss of appetite,rash,itchiness,fever,headache
Malaria,fatigue,fever,vomiting,headache,chills,,
Measles,cough,runny nose,fever,sensitivity to light,,,
Measles,sensitivity to light,runny nose,rash,,,,
Tuberculosis,persistent cough,weight loss,night sweats,,,,
Typhoid,diarrhea,rash,loss of appetite,,,,
Hepatitis B,fatigue,nausea,joint pain,,,,
Gastroenteritis,fatigue,loss of appetite,stomach cramps,diarrhea,nausea,fever,vomiting
Pneumonia,shortness of breath,chills,rapid breathing,cough,fever,,
Hypertension,headache,shortness of breath,dizziness,chest pain,blurred vision,nosebleed,
Gastroenteritis,diarrhea,fatigue,loss of appetite,fever,,,
Asthma,fatigue,coughing,chest tightness,,,,
Typhoid,stomach pain,constipation,headache,diarrhea,high fever,,
Appendicitis,fever,vomiting,bloating,loss of appetite,,,
Arthritis,fatigue,stiffness,joint pain,warmth in joints,swelling,,
Hypertension,shortness of breath,fatigue,blurred vision,,,,
COVID-19,fatigue,shortness of breath,body aches,cough,loss of taste,headache,loss of smell
COVID-19,cough,loss of taste,headache,fever,,,
Pneumonia,shortness of breath,cough,chills,,,,
Anemia,pale skin,fatigue,dizziness,weakness,chest pain,shortness of breath,cold hands
Anemia,fatigue,shortness of breath,cold hands,weakness,dizziness,,
Asthma,coughing,wheezing,chest tightness,shortness of breath,fatigue,,
Migraine,blurred vision,fatigue,vomiting,sensitivity to sound,,,
Appendicitis,vomiting,loss of appetite,severe abdominal pain,nausea,bloating,fever,
Migraine,vomiting,fatigue,sensitivity to sound,sensitivity to light,severe headache,nausea,blurred vision
Arthritis,joint pain,warmth in joints,swelling,fatigue,stiffness,reduced range of motion,
Chicken Pox,fatigue,fever,blisters,loss of appetite,,,
Hepatitis B,fatigue,vomiting,jaundice,joint pain,nausea,abdominal pain,
Typhoid,weakness,loss of appetite,constipation,rash,diarrhea,headache,
Malaria,chills,fatigue,nausea,headache,muscle pain,sweating,
Urinary Tract Infection,frequent urination,pelvic pain,burning urination,cloudy urine,,,
Typhoid,loss of appetite,headache,diarrhea,weakness,high fever,constipation,stomach pain
Appendicitis,nausea,bloating,loss of appetite,severe abdominal pain,fever,,
Dengue Fever,severe headache,muscle pain,rash,joint pain,nausea,fatigue,
Malaria,nausea,vomiting,fatigue,sweating,fever,muscle pain,chills
Chicken Pox,headache,loss of appetite,blisters,itchiness,,,
Diabetes,numbness in feet,blurred vision,slow healing wounds,frequent urination,excessive thirst,weight loss,
Diabetes,slow healing wounds,blurred vision,weight loss,frequent urination,fatigue,,
Pneumonia,cough,fatigue,chills,fever,chest pain,shortness of breath,
Appendicitis,loss of appetite,fever,nausea,vomiting,severe abdominal pain,bloating,
Chicken Pox,fever,loss of appetite,fatigue,blisters,itchiness,,
Dengue Fever,high fever,fatigue,joint pain,severe headache,nausea,vomiting,rash
Anemia,pale skin,dizziness,shortness of breath,cold hands,weakness,fatigue,chest pain
Appendicitis,fever,bloating,loss of appetite,nausea,severe abdominal pain,vomiting,
Anemia,fatigue,pale skin,shortness of breath,weakness,dizziness,cold hands,chest pain
COVID-19,shortness of breath,headache,body aches,fatigue,,,
Typhoid,loss of appetite,headache,stomach pain,diarrhea,weakness,rash,high fever
Anemia,shortness of breath,fatigue,chest pain,cold hands,weakness,dizziness,
Measles,fever,cough,red eyes,,,,
Asthma,chest tightness,shortness of breath,coughing,fatigue,,,
Influenza,fatigue,fever,runny nose,chills,sore throat,cough,
Dengue Fever,vomiting,rash,muscle pain,high fever,,,
Asthma,chest tightness,wheezing,shortness of breath,,,,
Gastroenteritis,fatigue,stomach cramps,loss of appetite,,,,
Appendicitis,loss of appetite,bloating,nausea,severe abdominal pain,,,
Urinary Tract Infection,cloudy urine,frequent urination,chills,,,,
Migraine,blurred vision,nausea,fatigue,vomiting,sensitivity to sound,severe headache,
Dengue Fever,rash,vomiting,fatigue,muscle pain,severe headache,joint pain,high fever
Common Cold,congestion,cough,runny nose,sneezing,sore throat,fatigue,
Migraine,fatigue,sensitivity to light,sensitivity to sound,blurred vision,vomiting,nausea,severe headache
Urinary Tract Infection,frequent urination,pelvic pain,burning urination,chills,,,
Common Cold,fatigue,congestion,mild fever,runny nose,sneezing,,
Gastroenteritis,vomiting,nausea,loss of appetite,,,,
Chicken Pox,itchiness,fever,headache,rash,fatigue,loss of appetite,blisters
Pneumonia,chills,shortness of breath,fatigue,fever,rapid breathing,chest pain,
Pneumonia,fever,chills,rapid breathing,shortness of breath,chest pain,fatigue,cough
Common Cold,sore throat,congestion,fatigue,,,,
Typhoid,high fever,rash,headache,,,,
Diabetes,slow healing wounds,numbness in feet,fatigue,frequent urination,,,
Diabetes,blurred vision,fatigue,slow healing wounds,frequent urination,,,
Anemia,shortness of breath,dizziness,weakness,pale skin,cold hands,chest pain,fatigue
Diabetes,slow healing wounds,excessive thirst,weight loss,blurred vision,fatigue,numbness in feet,
Arthritis,swelling,fatigue,reduced range of motion,,,,
Appendicitis,fever,vomiting,loss of appetite,,,,
Diabetes,numbness in feet,blurred vision,excessive thirst,slow healing wounds,weight loss,,
Appendicitis,nausea,bloating,fever,severe abdominal pain,vomiting,,
Common Cold,mild fever,fatigue,cough,runny nose,sneezing,sore throat,congestion
Dengue Fever,vomiting,nausea,muscle pain,severe headache,rash,fatigue,
Diabetes,numbness in feet,blurred vision,slow healing wounds,,,,
COVID-19,shortness of breath,loss of smell,fever,,,,
Diabetes,excessive thirst,blurred vision,frequent urination,fatigue,numbness in feet,weight loss,
COVID-19,headache,loss of taste,shortness of breath,fever,body aches,fatigue,
Common Cold,cough,fatigue,runny nose,mild fever,congestion,sore throat,
Urinary Tract Infection,fever,frequent urination,cloudy urine,burning urination,chills,pelvic pain,
Arthritis,swelling,stiffness,joint pain,warmth in joints,fatigue,,
Influenza,runny nose,sore throat,fatigue,cough,body aches,,
Diabetes,numbness in feet,slow healing wounds,weight loss,,,,
Appendicitis,severe abdominal pain,fever,loss of appetite,nausea,,,
Gastroenteritis,fever,nausea,loss of appetite,stomach cramps,,,
Measles,rash,fatigue,sensitivity to light,,,,
Asthma,wheezing,chest tightness,shortness of breath,coughing,fatigue,,
Hepatitis B,abdominal pain,dark urine,jaundice,nausea,,,
Pneumonia,rapid breathing,chest pain,fever,cough,fatigue,,
Hypertension,blurred vision,nosebleed,dizziness,,,,
Diabetes,excessive thirst,fatigue,numbness in feet,weight loss,,,
Influenza,fever,chills,sore throat,runny nose,fatigue,,
Diabetes,fatigue,excessive thirst,numbness in feet,slow healing wounds,frequent urination,weight loss,
Malaria,sweating,chills,fatigue,headache,vomiting,muscle pain,
Appendicitis,severe abdominal pain,vomiting,nausea,fever,,,
Anemia,chest pain,cold hands,weakness,dizziness,,,
Dengue Fever,rash,fatigue,nausea,joint pain,,,
Hepatitis B,jaundice,dark urine,joint pain,vomiting,nausea,fatigue,
Gastroenteritis,diarrhea,fever,loss of appetite,vomiting,fatigue,,
Asthma,fatigue,wheezing,shortness of breath,chest tightness,coughing,,
Arthritis,stiffness,joint pain,fatigue,warmth in joints,reduced range of motion,,
Gastroenteritis,fatigue,stomach cramps,nausea,loss of appetite,fever,vomiting,diarrhea
Common Cold,runny nose,sneezing,fatigue,,,,
Diabetes,frequent urination,slow healing wounds,excessive thirst,numbness in feet,weight loss,,
COVID-19,headache,fever,shortness of breath,,,,
Hepatitis B,dark urine,joint pain,fatigue,nausea,vomiting,jaundice,
Diabetes,excessive thirst,numbness in feet,blurred vision,frequent urination,slow healing wounds,weight loss,
Influenza,fever,headache,sore throat,cough,fatigue,chills,
Dengue Fever,fatigue,severe headache,joint pain,vomiting,high fever,,
Diabetes,fatigue,numbness in feet,weight loss,blurred vision,frequent urination,,
Common Cold,fatigue,cough,sore throat,,,,
Tuberculosis,fever,weight loss,chest pain,,,,
Influenza,sore throat,body aches,runny nose,cough,,,
Chicken Pox,fatigue,loss of appetite,fever,,,,
Gastroenteritis,fever,loss of appetite,diarrhea,,,,
